Energy,Momentum,Parton,CTEQ6D Value,CTEQ6L1 Value
17,3,7,1.77592e-16,0.0
18,3,0,1.77592e-16,0.0
18,3,1,0.0,0.0
18,3,2,4.44523e-17,8.87962e-17
18,3,3,8.87962e-17,0.0
18,3,4,0.0,4.44523e-17
18,3,5,8.87962e-17,4.44523e-17
18,3,6,0.0,4.43981e-17
18,3,7,0.0,0.0
19,3,0,0.0,0.0
19,3,1,0.0,4.43981e-17
19,3,2,0.0,4.43981e-17
19,3,3,0.0,2.2199e-17
19,3,4,0.0,0.0
19,3,5,0.0,0.0
19,3,6,0.0,0.0
19,3,7,1.11131e-17,0.0
0,4,0,0.0,0.0
0,4,1,0.0,0.0
0,4,2,0.0,1.10995e-17
0,4,3,0.0,5.55654e-18
0,4,4,5.55654e-18,0.0
0,4,5,2.77827e-18,0.0
0,4,6,2.77827e-18,2.77827e-18
0,4,7,2.77827e-18,0.0
1,4,0,0.0,2.77827e-18
1,4,1,0.0,0.0
1,4,2,0.0,0.0
1,4,3,0.0,0.0
1,4,4,0.0,0.0
1,4,5,0.0,6.94567e-19
1,4,6,0.0,0.0
1,4,7,0.0,0.0
2,4,0,6.94567e-19,6.9372e-19
2,4,1,0.0,3.47284e-19
2,4,2,3.47284e-19,6.9372e-19
2,4,3,3.4686e-19,0.0
2,4,4,1.73642e-19,0.0
2,4,5,0.0,0.0
2,4,6,8.68209e-20,1.7343e-19
2,4,7,0.0,0.0
3,4,0,0.0,0.0
3,4,1,2.17052e-20,0.0
3,4,2,0.0,1.08526e-20
3,4,3,0.0,1.08394e-20
3,4,4,5.41969e-21,0.0
3,4,5,0.0,3.39144e-22
3,4,6,1.69572e-22,0.0
3,4,7,0.0,0.0
4,4,0,1056750.0,1374730.0
4,4,1,787842.0,1021590.0
4,4,2,576368.0,743741.0
4,4,3,422332.0,541190.0
4,4,4,308567.0,393538.0
4,4,5,225801.0,285970.0
4,4,6,164739.0,207654.0
4,4,7,120379.0,150673.0
5,4,0,87688.8,109242.0
5,4,1,63977.5,79140.0
5,4,2,46525.3,57284.2
5,4,3,33888.0,41428.0
5,4,4,24599.0,29933.5
5,4,5,17884.8,21607.7
5,4,6,12956.5,15582.2
5,4,7,9401.3,11225.4
6,4,0,6795.92,8078.12
6,4,1,4920.43,5806.68
6,4,2,3548.42,4169.05
6,4,3,2563.07,2989.6
6,4,4,1843.62,2141.08
6,4,5,1328.22,1531.33
6,4,6,952.707,1093.69
6,4,7,684.462,779.973
7,4,0,489.483,555.383
7,4,1,350.636,394.825
7,4,2,249.869,280.239
7,4,3,177.552,197.503
7,4,4,126.15,139.71
7,4,5,89.7954,98.6437
7,4,6,63.5749,69.5144
7,4,7,45.0985,48.8893
8,4,0,31.7988,34.294
8,4,1,22.4736,24.0082
8,4,2,15.7959,16.775
8,4,3,11.1354,11.7014
8,4,4,7.80613,8.14734
8,4,5,5.49272,5.66467
8,4,6,3.84402,3.93425
